Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1468746000.0 1.0 50 71 117 NA NA NA NA 94 143 166 NA NA NA NA 1761 350 319 NA NA NA NA 1890 401 553 NA NA NA NA
1468746000.0 10.0 NA 67 165 0 NA NA NA NA 140 223 0 NA NA NA NA 3029 3385 840 NA NA NA NA 3125 3424 854 NA NA NA
1468746000.0 1000.0 NA 166 98 0 29 NA NA NA 230 153 0 66 NA NA NA 2429 610 591 72 NA NA NA 2612 764 599 114 NA NA
1468746000.0 1001.0 NA 156 101 0 0 0 0 NA 216 141 0 0 0 0 NA 2267 201 51 56 125 38 NA 2342 214 57 61 133 47
1468746000.0 1002.0 NA 178 54 NA NA NA NA NA 245 93 NA NA NA NA NA 2138 145 NA NA NA NA NA 2195 154 NA NA NA NA
1468746000.0 1003.0 NA 153 0 NA NA NA NA NA 218 0 NA NA NA NA NA 3795 841 NA NA NA NA NA 4168 867 NA NA NA NA
1468746000.0 1004.0 NA 158 95 0 0 0 NA NA 222 123 0 0 0 NA NA 635 146 80 74 324 NA NA 674 157 87 77 330 NA
1468746000.0 101.0 79 NA NA NA NA NA NA 134 NA NA NA NA NA NA 1045 NA NA NA NA NA NA 1065 NA NA NA NA NA NA
1468746000.0 102.0 79 NA NA NA NA NA NA 135 NA NA NA NA NA NA 775 NA NA NA NA NA NA 791 NA NA NA NA NA NA
1468746000.0 103.0 44 74 163 NA NA NA NA 88 143 222 NA NA NA NA 872 290 432 NA NA NA NA 886 305 448 NA NA NA NA
1468746000.0 105.0 49 72 18 NA NA NA NA 94 143 52 NA NA NA NA 1969 309 3 NA NA NA NA 2014 319 13 NA NA NA NA
1468746000.0 106.0 35 0 0 NA NA NA NA 74 0 0 NA NA NA NA 364 73 192 NA NA NA NA 379 81 216 NA NA NA NA
1468746000.0 107.0 52 77 164 NA NA NA NA 95 143 222 NA NA NA NA 4405 399 555 NA NA NA NA 4479 408 569 NA NA NA NA
1468746000.0 108.0 53 75 164 NA NA NA NA 98 143 222 NA NA NA NA 7140 664 971 NA NA NA NA 7312 710 993 NA NA NA NA
1468746000.0 109.0 53 77 162 NA NA NA NA 99 143 222 NA NA NA NA 6697 517 791 NA NA NA NA 7000 542 887 NA NA NA NA
1468746000.0 11.0 NA 65 172 0 40 NA NA NA 140 232 0 75 NA NA NA 2709 973 627 37 NA NA NA 2804 990 635 42 NA NA
1468746000.0 110.0 42 73 160 NA NA NA NA 81 143 222 NA NA NA NA 733 441 544 NA NA NA NA 748 494 561 NA NA NA NA
1468746000.0 1102.0 NA 70 166 98 60 NA NA NA 139 222 149 100 NA NA NA 2084 2840 1749 194 NA NA NA 2158 2916 1816 205 NA NA
1468746000.0 111.0 49 74 162 NA NA NA NA 94 143 222 NA NA NA NA 2166 349 548 NA NA NA NA 2299 389 567 NA NA NA NA
1468746000.0 112.0 51 76 162 NA NA NA NA 96 143 222 NA NA NA NA 3459 454 625 NA NA NA NA 3684 499 697 NA NA NA NA
1468746000.0 113.0 52 76 168 NA NA NA NA 96 143 223 NA NA NA NA 3925 395 499 NA NA NA NA 3951 403 514 NA NA NA NA
1468746000.0 114.0 51 83 160 NA NA NA NA 96 143 222 NA NA NA NA 4128 542 692 NA NA NA NA 4446 580 733 NA NA NA NA
1468746000.0 115.0 53 73 160 NA NA NA NA 97 143 222 NA NA NA NA 6562 784 1014 NA NA NA NA 6709 878 1094 NA NA NA NA
1468746000.0 116.0 52 75 164 NA NA NA NA 97 143 222 NA NA NA NA 6392 700 1068 NA NA NA NA 6529 755 1134 NA NA NA NA
1468746000.0 117.0 52 76 162 NA NA NA NA 98 143 222 NA NA NA NA 6398 519 794 NA NA NA NA 6704 538 879 NA NA NA NA
1468746000.0 118.0 52 73 162 NA NA NA NA 97 143 223 NA NA NA NA 5722 668 1078 NA NA NA NA 5765 696 1128 NA NA NA NA
1468746000.0 119.0 51 74 162 NA NA NA NA 96 143 222 NA NA NA NA 3687 468 459 NA NA NA NA 3917 490 480 NA NA NA NA
1468746000.0 12.0 NA 66 163 0 NA NA NA NA 140 222 0 NA NA NA NA 2674 3408 946 NA NA NA NA 2799 3468 960 NA NA NA
1468746000.0 120.0 43 73 158 NA NA NA NA 86 143 213 NA NA NA NA 501 336 402 NA NA NA NA 516 367 447 NA NA NA NA
1468746000.0 121.0 52 77 163 NA NA NA NA 97 143 222 NA NA NA NA 6059 544 857 NA NA NA NA 6361 577 983 NA NA NA NA
1468746000.0 122.0 49 75 161 NA NA NA NA 94 143 222 NA NA NA NA 1158 246 449 NA NA NA NA 1255 267 481 NA NA NA NA
1468746000.0 123.1 152 NA NA NA NA NA NA 204 NA NA NA NA NA NA 520 NA NA NA NA NA NA 547 NA NA NA NA NA NA
1468746000.0 123.2 153 NA NA NA NA NA NA 205 NA NA NA NA NA NA 631 NA NA NA NA NA NA 684 NA NA NA NA NA NA
1468746000.0 123.3 139 NA NA NA NA NA NA 200 NA NA NA NA NA NA 367 NA NA NA NA NA NA 392 NA NA NA NA NA NA
1468746000.0 124.1 145 NA NA NA NA NA NA 200 NA NA NA NA NA NA 364 NA NA NA NA NA NA 403 NA NA NA NA NA NA
1468746000.0 124.2 152 NA NA NA NA NA NA 204 NA NA NA NA NA NA 464 NA NA NA NA NA NA 490 NA NA NA NA NA NA
1468746000.0 124.4 144 NA NA NA NA NA NA 200 NA NA NA NA NA NA 381 NA NA NA NA NA NA 405 NA NA NA NA NA NA
1468746000.0 124.5 148 NA NA NA NA NA NA 200 NA NA NA NA NA NA 396 NA NA NA NA NA NA 426 NA NA NA NA NA NA
1468746000.0 124.6 140 NA NA NA NA NA NA 200 NA NA NA NA NA NA 402 NA NA NA NA NA NA 432 NA NA NA NA NA NA
1468746000.0 125.0 52 75 164 NA NA NA NA 97 144 223 NA NA NA NA 6514 787 847 NA NA NA NA 6615 868 874 NA NA NA NA
1468746000.0 126.0 43 74 160 NA NA NA NA 87 143 222 NA NA NA NA 1110 337 472 NA NA NA NA 1171 380 513 NA NA NA NA
1468746000.0 127.0 43 74 159 NA NA NA NA 86 143 222 NA NA NA NA 1287 318 467 NA NA NA NA 1306 392 510 NA NA NA NA
1468746000.0 128.0 41 72 159 NA NA NA NA 81 143 213 NA NA NA NA 613 413 385 NA NA NA NA 629 432 405 NA NA NA NA
1468746000.0 129.0 42 71 160 NA NA NA NA 85 143 222 NA NA NA NA 638 404 342 NA NA NA NA 653 419 356 NA NA NA NA
1468746000.0 13.0 NA 67 163 0 NA NA NA NA 140 222 0 NA NA NA NA 305 926 372 NA NA NA NA 347 940 378 NA NA NA
1468746000.0 130.0 42 71 160 NA NA NA NA 81 143 222 NA NA NA NA 594 313 447 NA NA NA NA 651 342 480 NA NA NA NA
1468746000.0 1301.0 56 108 142 NA NA NA NA 101 169 197 NA NA NA NA 1570 617 567 NA NA NA NA 2016 972 608 NA NA NA NA
1468746000.0 1302.0 61 122 146 NA NA NA NA 107 169 202 NA NA NA NA 6520 657 797 NA NA NA NA 6999 720 873 NA NA NA NA
1468746000.0 1303.0 64 122 147 NA NA NA NA 108 169 204 NA NA NA NA 10260 808 1268 NA NA NA NA 10381 897 1358 NA NA NA NA
1468746000.0 131.0 44 74 160 NA NA NA NA 88 143 222 NA NA NA NA 1312 348 499 NA NA NA NA 1401 378 567 NA NA NA NA
1468746000.0 132.0 48 73 159 NA NA NA NA 93 143 217 NA NA NA NA 3009 450 643 NA NA NA NA 3220 502 689 NA NA NA NA
1468746000.0 133.0 53 76 164 NA NA NA NA 98 143 223 NA NA NA NA 7818 499 853 NA NA NA NA 8112 572 985 NA NA NA NA
