Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1468789200.0 1.0 51 76 128 NA NA NA NA NA 98 147 189 NA NA NA NA NA 4330 703 2106 NA NA NA NA NA 4385 755 2188 NA NA NA NA NA
1468789200.0 10.0 NA 83 195 0 NA NA NA NA NA 153 261 0 NA NA NA NA NA 3677 3848 1255 NA NA NA NA NA 3798 4073 1301 NA NA NA NA
1468789200.0 1000.0 NA 214 120 0 39 NA NA NA NA 283 185 0 80 NA NA NA NA 5673 747 1199 195 NA NA NA NA 5825 873 1254 252 NA NA NA
1468789200.0 1001.0 NA 187 176 0 0 0 0 0 NA 247 218 0 0 0 0 0 NA 2394 546 8 81 732 45 574 NA 2630 611 29 95 751 66 591
1468789200.0 1002.0 NA 214 69 NA NA NA NA NA NA 281 101 NA NA NA NA NA NA 2997 159 NA NA NA NA NA NA 3146 206 NA NA NA NA NA
1468789200.0 10021.0 NA 99 231 0 NA NA NA NA NA 176 322 0 NA NA NA NA NA 526 1827 632 NA NA NA NA NA 625 2076 659 NA NA NA NA
1468789200.0 10023.0 NA 103 230 0 NA NA NA NA NA 177 322 0 NA NA NA NA NA 523 1574 568 NA NA NA NA NA 738 1692 587 NA NA NA NA
1468789200.0 10024.0 NA 103 241 0 NA NA NA NA NA 177 323 0 NA NA NA NA NA 578 1742 653 NA NA NA NA NA 683 1839 681 NA NA NA NA
1468789200.0 10024.1 NA 103 148 0 NA NA NA NA NA 177 222 0 NA NA NA NA NA 501 605 328 NA NA NA NA NA 615 676 340 NA NA NA NA
1468789200.0 10024.2 NA 101 237 0 NA NA NA NA NA 177 322 0 NA NA NA NA NA 938 2549 805 NA NA NA NA NA 1131 2701 828 NA NA NA NA
1468789200.0 10024.3 NA 104 142 0 NA NA NA NA NA 177 218 0 NA NA NA NA NA 641 720 355 NA NA NA NA NA 1441 1511 372 NA NA NA NA
1468789200.0 10024.4 NA 110 231 0 NA NA NA NA NA 177 322 0 NA NA NA NA NA 566 1794 604 NA NA NA NA NA 716 1932 624 NA NA NA NA
1468789200.0 10024.5 NA 103 138 0 NA NA NA NA NA 177 217 0 NA NA NA NA NA 530 591 291 NA NA NA NA NA 1100 696 302 NA NA NA NA
1468789200.0 10025.0 NA 104 228 0 NA NA NA NA NA 177 323 0 NA NA NA NA NA 741 2465 831 NA NA NA NA NA 841 2589 877 NA NA NA NA
1468789200.0 10026.0 NA 109 239 0 NA NA NA NA NA 177 323 0 NA NA NA NA NA 603 2246 627 NA NA NA NA NA 703 2343 649 NA NA NA NA
1468789200.0 1003.0 NA 178 0 NA NA NA NA NA NA 249 0 NA NA NA NA NA NA 5173 858 NA NA NA NA NA NA 5382 896 NA NA NA NA NA
1468789200.0 1004.0 NA 178 131 0 0 0 0 NA NA 243 181 0 0 0 0 NA NA 612 196 7 64 332 339 NA NA 638 218 13 74 339 352 NA
1468789200.0 101.0 81 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 2083 NA NA NA NA NA NA NA 2111 NA NA NA NA NA NA NA
1468789200.0 102.0 82 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 1403 NA NA NA NA NA NA NA 1454 NA NA NA NA NA NA NA
1468789200.0 10224.0 NA 145 306 0 NA NA NA NA NA 204 396 0 NA NA NA NA NA 3927 7438 889 NA NA NA NA NA 9647 13682 920 NA NA NA NA
1468789200.0 10225.0 NA 144 311 0 NA NA NA NA NA 207 400 0 NA NA NA NA NA 4124 6426 551 NA NA NA NA NA 13498 17107 560 NA NA NA NA
1468789200.0 103.0 36 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 633 179 357 NA NA NA NA NA 656 189 376 NA NA NA NA NA
1468789200.0 105.0 51 77 23 NA NA NA NA NA 98 149 55 NA NA NA NA NA 3375 480 5 NA NA NA NA NA 3911 521 19 NA NA NA NA NA
1468789200.0 106.0 37 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 668 179 333 NA NA NA NA NA 698 191 351 NA NA NA NA NA
1468789200.0 107.0 52 77 197 NA NA NA NA NA 99 149 258 NA NA NA NA NA 5624 541 783 NA NA NA NA NA 5786 561 817 NA NA NA NA NA
1468789200.0 108.0 55 78 193 NA NA NA NA NA 102 150 258 NA NA NA NA NA 10562 839 1300 NA NA NA NA NA 10679 913 1397 NA NA NA NA NA
1468789200.0 10821.0 92 NA NA NA NA NA NA NA 135 NA NA NA NA NA NA NA 3103 NA NA NA NA NA NA NA 3228 NA NA NA NA NA NA NA
1468789200.0 10824.0 105 NA NA NA NA NA NA NA 152 NA NA NA NA NA NA NA 13731 NA NA NA NA NA NA NA 14283 NA NA NA NA NA NA NA
1468789200.0 10825.0 104 NA NA NA NA NA NA NA 152 NA NA NA NA NA NA NA 10840 NA NA NA NA NA NA NA 11378 NA NA NA NA NA NA NA
