Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1468400400.0 1.0 52 74 134 NA NA NA NA 165 232 286 NA NA NA NA 4037 628 1150 NA NA NA NA 4216 664 1172 NA NA NA NA
1468400400.0 10.0 NA 91 205 0 NA NA NA NA 238 400 0 NA NA NA NA 4278 4106 1035 NA NA NA NA 4352 4307 1061 NA NA NA
1468400400.0 1000.0 NA 204 127 0 45 NA NA NA 405 264 0 139 NA NA NA 2693 516 827 172 NA NA NA 2828 639 856 439 NA NA
1468400400.0 1002.0 NA 209 59 NA NA NA NA NA 412 131 NA NA NA NA NA 1784 126 NA NA NA NA NA 1832 139 NA NA NA NA
1468400400.0 10021.0 NA 104 232 0 NA NA NA NA 263 461 0 NA NA NA NA 701 1596 634 NA NA NA NA 844 1918 668 NA NA NA
1468400400.0 10023.0 NA 105 214 0 NA NA NA NA 264 460 0 NA NA NA NA 800 1551 775 NA NA NA NA 963 5409 798 NA NA NA
1468400400.0 10024.0 NA 106 239 0 NA NA NA NA 264 461 0 NA NA NA NA 733 1680 674 NA NA NA NA 883 1854 739 NA NA NA
1468400400.0 10024.1 NA 102 146 0 NA NA NA NA 264 328 0 NA NA NA NA 810 859 517 NA NA NA NA 1302 987 534 NA NA NA
1468400400.0 10024.2 NA 104 242 0 NA NA NA NA 264 460 0 NA NA NA NA 714 1668 647 NA NA NA NA 861 1942 693 NA NA NA
1468400400.0 10024.3 NA 104 143 0 NA NA NA NA 264 324 0 NA NA NA NA 908 885 462 NA NA NA NA 1054 999 472 NA NA NA
1468400400.0 10024.4 NA 114 230 0 NA NA NA NA 264 460 0 NA NA NA NA 850 1987 787 NA NA NA NA 1028 2838 808 NA NA NA
1468400400.0 10024.5 NA 109 140 0 NA NA NA NA 264 323 0 NA NA NA NA 814 835 585 NA NA NA NA 999 992 644 NA NA NA
1468400400.0 10025.0 NA 103 234 0 NA NA NA NA 264 461 0 NA NA NA NA 839 1601 737 NA NA NA NA 953 1733 763 NA NA NA
1468400400.0 10026.0 NA 105 240 0 NA NA NA NA 264 461 0 NA NA NA NA 790 1998 635 NA NA NA NA 1570 2181 675 NA NA NA
1468400400.0 1003.0 NA 178 0 NA NA NA NA NA 377 0 NA NA NA NA NA 4834 485 NA NA NA NA NA 5176 511 NA NA NA NA
1468400400.0 1004.0 NA 178 131 0 0 0 0 NA 362 250 0 0 0 0 NA 950 547 11 85 1050 978 NA 981 567 17 88 1057 988
1468400400.0 101.0 82 NA NA NA NA NA NA 235 NA NA NA NA NA NA 2224 NA NA NA NA NA NA 2340 NA NA NA NA NA NA
1468400400.0 10224.0 NA 147 303 0 NA NA NA NA 289 536 0 NA NA NA NA 3948 6451 792 NA NA NA NA 9092 17394 900 NA NA NA
1468400400.0 10225.0 NA 149 301 0 NA NA NA NA 298 533 0 NA NA NA NA 4084 5802 713 NA NA NA NA 12671 28648 736 NA NA NA
1468400400.0 103.0 37 0 0 NA NA NA NA 144 0 0 NA NA NA NA 716 134 285 NA NA NA NA 744 151 317 NA NA NA NA
1468400400.0 105.0 52 77 19 NA NA NA NA 165 235 121 NA NA NA NA 4065 662 4 NA NA NA NA 4616 776 7 NA NA NA NA
1468400400.0 106.0 38 0 0 NA NA NA NA 144 0 0 NA NA NA NA 706 138 284 NA NA NA NA 745 154 317 NA NA NA NA
1468400400.0 107.0 53 80 193 NA NA NA NA 167 235 397 NA NA NA NA 7748 738 893 NA NA NA NA 8198 759 1092 NA NA NA NA
1468400400.0 108.0 55 79 198 NA NA NA NA 169 235 397 NA NA NA NA 11916 679 1184 NA NA NA NA 12274 707 1234 NA NA NA NA
1468400400.0 10821.0 94 NA NA NA NA NA NA 208 NA NA NA NA NA NA 6386 NA NA NA NA NA NA 6575 NA NA NA NA NA NA
1468400400.0 10824.0 106 NA NA NA NA NA NA 222 NA NA NA NA NA NA 24037 NA NA NA NA NA NA 25074 NA NA NA NA NA NA
1468400400.0 10825.0 106 NA NA NA NA NA NA 221 NA NA NA NA NA NA 19616 NA NA NA NA NA NA 20280 NA NA NA NA NA NA
1468400400.0 10826.0 108 NA NA NA NA NA NA 228 NA NA NA NA NA NA 36635 NA NA NA NA NA NA 49411 NA NA NA NA NA NA
1468400400.0 109.0 56 78 205 NA NA NA NA 169 235 397 NA NA NA NA 11620 957 1161 NA NA NA NA 11939 1024 1234 NA NA NA NA
1468400400.0 11.0 NA 79 205 0 60 NA NA NA 238 408 0 161 NA NA NA 3221 1533 1092 75 NA NA NA 3261 1596 1127 86 NA NA
1468400400.0 110.0 47 82 193 NA NA NA NA 157 235 397 NA NA NA NA 1138 610 730 NA NA NA NA 1212 741 843 NA NA NA NA
1468400400.0 1102.0 NA 83 203 115 66 NA NA NA 242 405 273 159 NA NA NA 4418 5077 3964 320 NA NA NA 4537 5250 4381 330 NA NA
1468400400.0 111.0 53 77 200 NA NA NA NA 167 235 397 NA NA NA NA 4644 597 781 NA NA NA NA 4986 634 821 NA NA NA NA
1468400400.0 112.0 53 84 194 NA NA NA NA 166 235 397 NA NA NA NA 8562 678 820 NA NA NA NA 9097 709 860 NA NA NA NA
1468400400.0 113.0 56 79 193 NA NA NA NA 169 235 397 NA NA NA NA 9483 734 1020 NA NA NA NA 9820 775 1123 NA NA NA NA
1468400400.0 114.0 55 79 193 NA NA NA NA 168 235 397 NA NA NA NA 8963 696 1052 NA NA NA NA 9301 803 1241 NA NA NA NA
1468400400.0 115.0 55 88 196 NA NA NA NA 169 235 397 NA NA NA NA 10008 810 1088 NA NA NA NA 10258 867 1213 NA NA NA NA
1468400400.0 116.0 54 88 196 NA NA NA NA 168 235 397 NA NA NA NA 10730 737 1170 NA NA NA NA 11287 881 1222 NA NA NA NA
1468400400.0 117.0 56 83 199 NA NA NA NA 169 235 397 NA NA NA NA 12612 843 1097 NA NA NA NA 12874 954 1139 NA NA NA NA
1468400400.0 118.0 57 79 197 NA NA NA NA 169 235 397 NA NA NA NA 11734 964 1079 NA NA NA NA 12063 1123 1215 NA NA NA NA
1468400400.0 119.0 53 77 201 NA NA NA NA 166 235 397 NA NA NA NA 6885 672 842 NA NA NA NA 7083 714 967 NA NA NA NA
1468400400.0 12.0 NA 84 200 0 NA NA NA NA 238 399 0 NA NA NA NA 3965 4120 1268 NA NA NA NA 4052 4474 1294 NA NA NA
1468400400.0 120.0 47 75 188 NA NA NA NA 156 235 397 NA NA NA NA 899 589 715 NA NA NA NA 986 717 767 NA NA NA NA
1468400400.0 121.0 56 81 199 NA NA NA NA 169 235 398 NA NA NA NA 11974 752 1255 NA NA NA NA 12932 775 1392 NA NA NA NA
1468400400.0 122.0 49 81 191 NA NA NA NA 164 235 397 NA NA NA NA 1316 334 620 NA NA NA NA 1361 354 676 NA NA NA NA
