Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1469916000.0 134.806 NA 38 228 0 NA 152 423 0 NA 158 5863 363 NA 192 5984 396
1469916000.0 134.808 NA 85 243 0 NA 211 435 0 NA 495 5554 380 NA 566 5719 400
1469916000.0 134.811 NA 45 224 0 NA 156 420 0 NA 152 5300 355 NA 175 5436 370
1469916000.0 134.907 NA 74 230 0 NA 212 424 0 NA 638 7709 877 NA 709 7947 911
1469916000.0 134.908 NA 76 238 0 NA 214 427 0 NA 626 7703 858 NA 768 7889 904
1469916000.0 136.7321 NA 155 254 0 NA 337 454 0 NA 1648 4560 622 NA 2073 4927 633
1469916000.0 250407.0 223 0 98 NA 441 0 245 NA 1322 395 398 NA 1472 412 461 NA
1469916000.0 3.0 50 70 124 NA 166 220 286 NA 6587 193 1335 NA 6829 214 1355 NA
1469916000.0 4.64 NA 35 214 0 NA 142 408 0 NA 123 5175 354 NA 148 5359 370
1469916000.0 4.67 NA 56 221 0 NA 159 414 0 NA 118 6110 345 NA 163 6296 361
1469916000.0 500200.1 57 99 168 NA 173 242 342 NA 5720 444 878 NA 6028 905 941 NA
1469916000.0 50200.0 NA 103 256 0 NA 250 485 0 NA 1925 3232 853 NA 3477 4817 880
1469916000.0 50207.0 NA 102 257 0 NA 245 479 0 NA 1916 2956 864 NA 3525 4455 896
