Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470042000.0 1.0 47 62 122 NA NA NA NA NA 162 220 277 NA NA NA NA NA 4009 543 477 NA NA NA NA NA 4069 586 562 NA NA NA NA NA
1470042000.0 10.0 NA 83 194 0 NA NA NA NA NA 238 397 0 NA NA NA NA NA 2044 1868 525 NA NA NA NA NA 2214 1983 545 NA NA NA NA
1470042000.0 1001.0 NA 182 164 0 0 0 0 0 NA 375 299 0 0 0 0 0 NA 2005 387 5 63 524 20 572 NA 2100 460 22 75 575 25 642
1470042000.0 1002.0 NA 200 57 NA NA NA NA NA NA 410 140 NA NA NA NA NA NA 3057 203 NA NA NA NA NA NA 3203 217 NA NA NA NA NA
1470042000.0 10021.0 NA 97 218 0 NA NA NA NA NA 263 455 0 NA NA NA NA NA 430 652 289 NA NA NA NA NA 514 727 296 NA NA NA NA
1470042000.0 10023.0 NA 98 218 0 NA NA NA NA NA 263 455 0 NA NA NA NA NA 445 461 285 NA NA NA NA NA 546 632 291 NA NA NA NA
1470042000.0 10024.0 NA 102 225 0 NA NA NA NA NA 264 455 0 NA NA NA NA NA 462 634 300 NA NA NA NA NA 538 708 306 NA NA NA NA
1470042000.0 10024.2 NA 102 217 0 NA NA NA NA NA 263 454 0 NA NA NA NA NA 654 1211 656 NA NA NA NA NA 773 1321 695 NA NA NA NA
1470042000.0 10024.4 NA 101 223 0 NA NA NA NA NA 264 453 0 NA NA NA NA NA 517 657 340 NA NA NA NA NA 602 734 350 NA NA NA NA
1470042000.0 10025.0 NA 103 215 0 NA NA NA NA NA 263 455 0 NA NA NA NA NA 638 994 691 NA NA NA NA NA 727 1099 737 NA NA NA NA
1470042000.0 10026.0 NA 102 223 0 NA NA NA NA NA 263 455 0 NA NA NA NA NA 535 1041 419 NA NA NA NA NA 623 1192 455 NA NA NA NA
1470042000.0 1003.0 NA 173 0 NA NA NA NA NA NA 363 0 NA NA NA NA NA NA 4407 478 NA NA NA NA NA NA 4653 530 NA NA NA NA NA
1470042000.0 101.0 77 NA NA NA NA NA NA NA 232 NA NA NA NA NA NA NA 1906 NA NA NA NA NA NA NA 1933 NA NA NA NA NA NA NA
1470042000.0 102.0 77 NA NA NA NA NA NA NA 232 NA NA NA NA NA NA NA 1201 NA NA NA NA NA NA NA 1238 NA NA NA NA NA NA NA
1470042000.0 10224.0 NA 140 289 0 NA NA NA NA NA 290 529 0 NA NA NA NA NA 3606 4329 683 NA NA NA NA NA 7905 9614 737 NA NA NA NA
1470042000.0 10225.0 NA 140 304 0 NA NA NA NA NA 296 534 0 NA NA NA NA NA 3400 4908 420 NA NA NA NA NA 13128 14598 432 NA NA NA NA
1470042000.0 103.0 33 0 0 NA NA NA NA NA 142 0 0 NA NA NA NA NA 573 122 255 NA NA NA NA NA 596 140 285 NA NA NA NA NA
1470042000.0 106.0 33 0 0 NA NA NA NA NA 142 0 0 NA NA NA NA NA 556 113 293 NA NA NA NA NA 584 132 337 NA NA NA NA NA
1470042000.0 10625.0 82 79 0 NA NA NA NA NA 199 214 0 NA NA NA NA NA 4909 481 0 NA NA NA NA NA 5341 664 0 NA NA NA NA NA
1470042000.0 10824.0 94 NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA 19414 NA NA NA NA NA NA NA 19694 NA NA NA NA NA NA NA
1470042000.0 10825.0 96 NA NA NA NA NA NA NA 212 NA NA NA NA NA NA NA 11029 NA NA NA NA NA NA NA 11684 NA NA NA NA NA NA NA
1470042000.0 10826.0 96 NA NA NA NA NA NA NA 219 NA NA NA NA NA NA NA 30077 NA NA NA NA NA NA NA 31593 NA NA NA NA NA NA NA
1470042000.0 11021.0 83 202 0 NA NA NA NA NA 196 341 0 NA NA NA NA NA 2825 2023 0 NA NA NA NA NA 2951 2079 0 NA NA NA NA NA
1470042000.0 11024.0 94 201 0 NA NA NA NA NA 214 344 0 NA NA NA NA NA 19804 4279 0 NA NA NA NA NA 20040 4438 0 NA NA NA NA NA
1470042000.0 11025.0 95 206 0 NA NA NA NA NA 213 344 0 NA NA NA NA NA 12365 3092 0 NA NA NA NA NA 13132 3184 0 NA NA NA NA NA
1470042000.0 11026.0 100 204 0 NA NA NA NA NA 219 345 0 NA NA NA NA NA 32825 4381 0 NA NA NA NA NA 33232 4526 0 NA NA NA NA NA
1470042000.0 111.0 47 72 184 NA NA NA NA NA 163 228 394 NA NA NA NA NA 4041 453 684 NA NA NA NA NA 4106 518 755 NA NA NA NA NA
1470042000.0 11226.0 90 86 0 NA NA NA NA NA 206 214 0 NA NA NA NA NA 10324 691 0 NA NA NA NA NA 10592 780 0 NA NA NA NA NA
