Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1468746000.0 1.0 48 64 132 NA NA NA NA NA 94 134 177 NA NA NA NA NA 3014 328 1484 NA NA NA NA NA 3237 390 1543 NA NA NA NA NA
1468746000.0 10.0 NA 86 196 0 NA NA NA NA NA 152 259 0 NA NA NA NA NA 4302 3541 883 NA NA NA NA NA 4495 3661 933 NA NA NA NA
1468746000.0 1000.0 NA 212 124 0 47 NA NA NA NA 279 184 0 80 NA NA NA NA 3720 476 556 135 NA NA NA NA 4458 549 580 178 NA NA NA
1468746000.0 1001.0 NA 183 168 0 0 0 0 0 NA 246 218 0 0 0 0 0 NA 3485 856 10 109 1203 67 984 NA 3543 885 14 115 1222 86 992
1468746000.0 1002.0 NA 214 60 NA NA NA NA NA NA 280 101 NA NA NA NA NA NA 2489 146 NA NA NA NA NA NA 2594 166 NA NA NA NA NA
1468746000.0 10021.0 NA 103 233 0 NA NA NA NA NA 176 321 0 NA NA NA NA NA 483 1525 459 NA NA NA NA NA 540 1741 493 NA NA NA NA
1468746000.0 10023.0 NA 106 226 0 NA NA NA NA NA 176 321 0 NA NA NA NA NA 419 1374 462 NA NA NA NA NA 501 2013 484 NA NA NA NA
1468746000.0 10024.0 NA 108 238 0 NA NA NA NA NA 176 322 0 NA NA NA NA NA 751 1672 786 NA NA NA NA NA 857 2118 808 NA NA NA NA
1468746000.0 10024.1 NA 104 144 0 NA NA NA NA NA 176 217 0 NA NA NA NA NA 425 460 345 NA NA NA NA NA 496 530 364 NA NA NA NA
1468746000.0 10024.2 NA 103 233 0 NA NA NA NA NA 176 321 0 NA NA NA NA NA 463 1498 472 NA NA NA NA NA 652 1639 552 NA NA NA NA
1468746000.0 10024.3 NA 101 138 0 NA NA NA NA NA 176 213 0 NA NA NA NA NA 450 471 317 NA NA NA NA NA 515 525 341 NA NA NA NA
1468746000.0 10024.4 NA 105 234 0 NA NA NA NA NA 176 320 0 NA NA NA NA NA 949 1678 784 NA NA NA NA NA 1072 1847 809 NA NA NA NA
1468746000.0 10024.5 NA 108 138 0 NA NA NA NA NA 176 213 0 NA NA NA NA NA 741 998 511 NA NA NA NA NA 851 1351 533 NA NA NA NA
1468746000.0 10025.0 NA 110 230 0 NA NA NA NA NA 176 322 0 NA NA NA NA NA 757 1608 643 NA NA NA NA NA 846 1752 664 NA NA NA NA
1468746000.0 10026.0 NA 103 229 0 NA NA NA NA NA 176 322 0 NA NA NA NA NA 534 2085 472 NA NA NA NA NA 817 2361 515 NA NA NA NA
1468746000.0 1003.0 NA 179 0 NA NA NA NA NA NA 251 0 NA NA NA NA NA NA 3596 416 NA NA NA NA NA NA 3895 596 NA NA NA NA NA
1468746000.0 1004.0 NA 181 141 0 0 0 0 NA NA 242 180 0 0 0 0 NA NA 550 178 5 58 389 362 NA NA 578 202 14 70 393 375 NA
1468746000.0 101.0 78 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 1576 NA NA NA NA NA NA NA 1627 NA NA NA NA NA NA NA
1468746000.0 102.0 78 NA NA NA NA NA NA NA 138 NA NA NA NA NA NA NA 1041 NA NA NA NA NA NA NA 1067 NA NA NA NA NA NA NA
1468746000.0 10224.0 NA 134 304 0 NA NA NA NA NA 202 394 0 NA NA NA NA NA 3160 6041 567 NA NA NA NA NA 8102 7269 609 NA NA NA NA
1468746000.0 10225.0 NA 143 298 0 NA NA NA NA NA 204 393 0 NA NA NA NA NA 3054 5648 575 NA NA NA NA NA 12097 15485 595 NA NA NA NA
1468746000.0 103.0 34 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 513 111 207 NA NA NA NA NA 530 145 248 NA NA NA NA NA
1468746000.0 105.0 48 79 20 NA NA NA NA NA 94 142 55 NA NA NA NA NA 2867 346 3 NA NA NA NA NA 3063 372 6 NA NA NA NA NA
1468746000.0 106.0 42 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 484 103 209 NA NA NA NA NA 496 117 314 NA NA NA NA NA
1468746000.0 107.0 49 80 191 NA NA NA NA NA 94 142 256 NA NA NA NA NA 6662 696 788 NA NA NA NA NA 6977 722 824 NA NA NA NA NA
1468746000.0 108.0 50 71 194 NA NA NA NA NA 97 143 256 NA NA NA NA NA 10099 676 1117 NA NA NA NA NA 10451 705 1458 NA NA NA NA NA
1468746000.0 10821.0 82 NA NA NA NA NA NA NA 125 NA NA NA NA NA NA NA 3177 NA NA NA NA NA NA NA 3311 NA NA NA NA NA NA NA
1468746000.0 10824.0 97 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 12787 NA NA NA NA NA NA NA 13328 NA NA NA NA NA NA NA
1468746000.0 10825.0 91 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 17234 NA NA NA NA NA NA NA 20090 NA NA NA NA NA NA NA
1468746000.0 10826.0 97 NA NA NA NA NA NA NA 147 NA NA NA NA NA NA NA 25666 NA NA NA NA NA NA NA 27079 NA NA NA NA NA NA NA
1468746000.0 109.0 52 72 194 NA NA NA NA NA 97 142 256 NA NA NA NA NA 7812 417 646 NA NA NA NA NA 8346 523 709 NA NA NA NA NA
1468746000.0 11.0 NA 79 202 0 52 NA NA NA NA 151 267 0 92 NA NA NA NA 1749 884 647 38 NA NA NA NA 1786 931 694 65 NA NA NA
1468746000.0 110.0 48 72 197 NA NA NA NA NA 85 142 256 NA NA NA NA NA 641 319 407 NA NA NA NA NA 725 338 540 NA NA NA NA NA
