Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470214800.0 1.0 47 65 119 NA NA 93 134 171 NA NA 2497 278 241 NA NA 2676 352 284 NA NA
1470214800.0 1002.0 NA 206 58 NA NA NA 277 98 NA NA NA 1723 113 NA NA NA 1874 137 NA NA
1470214800.0 10021.0 NA 99 219 0 NA NA 176 315 0 NA NA 389 745 377 NA NA 641 1083 401 NA
1470214800.0 10023.0 NA 98 218 0 NA NA 176 315 0 NA NA 387 532 324 NA NA 823 733 351 NA
1470214800.0 10024.0 NA 103 226 0 NA NA 176 316 0 NA NA 406 734 400 NA NA 635 1081 427 NA
1470214800.0 10024.1 NA 102 139 0 NA NA 176 212 0 NA NA 457 597 314 NA NA 592 1493 354 NA
1470214800.0 10024.2 NA 102 222 0 NA NA 176 315 0 NA NA 422 701 355 NA NA 521 981 389 NA
1470214800.0 10024.3 NA 102 136 0 NA NA 176 207 0 NA NA 498 450 258 NA NA 556 521 321 NA
1470214800.0 10024.4 NA 102 223 0 NA NA 176 314 0 NA NA 412 719 379 NA NA 645 1035 407 NA
1470214800.0 10024.5 NA 102 131 0 NA NA 176 208 0 NA NA 428 389 253 NA NA 507 831 314 NA
1470214800.0 10025.0 NA 103 224 0 NA NA 176 316 0 NA NA 397 641 372 NA NA 608 804 401 NA
1470214800.0 10026.0 NA 102 233 0 NA NA 176 316 0 NA NA 437 891 347 NA NA 515 1352 426 NA
1470214800.0 1003.0 NA 175 0 NA NA NA 236 0 NA NA NA 2614 310 NA NA NA 3032 331 NA NA
1470214800.0 101.0 78 NA NA NA NA 138 NA NA NA NA 1701 NA NA NA NA 1741 NA NA NA NA
1470214800.0 102.0 78 NA NA NA NA 138 NA NA NA NA 1114 NA NA NA NA 1143 NA NA NA NA
1470214800.0 10224.0 NA 141 289 0 NA NA 207 390 0 NA NA 3400 4845 659 NA NA 7580 9664 693 NA
1470214800.0 10225.0 NA 138 292 0 NA NA 210 390 0 NA NA 3530 5101 665 NA NA 12518 14061 691 NA
1470214800.0 103.0 34 0 0 NA NA 75 0 0 NA NA 554 214 268 NA NA 565 269 298 NA NA
1470214800.0 105.0 47 70 23 NA NA 93 142 57 NA NA 2483 320 3 NA NA 2568 405 37 NA NA
1470214800.0 106.0 34 0 0 NA NA 75 0 0 NA NA 553 214 264 NA NA 566 269 290 NA NA
1470214800.0 10621.0 72 74 146 0 NA 114 126 194 0 NA 1954 1102 1087 418 NA 2014 1183 1144 432 NA
1470214800.0 10624.0 82 78 149 0 NA 130 126 197 0 NA 6559 684 539 285 NA 7230 939 580 296 NA
1470214800.0 10625.0 81 78 146 0 NA 129 127 195 0 NA 5808 659 471 264 NA 6464 892 873 271 NA
1470214800.0 107.0 48 69 187 NA NA 94 142 254 NA NA 4528 451 481 NA NA 4984 611 827 NA NA
1470214800.0 10821.0 82 NA NA NA NA 125 NA NA NA NA 4511 NA NA NA NA 4605 NA NA NA NA
1470214800.0 10824.0 93 NA NA NA NA 143 NA NA NA NA 14154 NA NA NA NA 15925 NA NA NA NA
1470214800.0 10825.0 93 NA NA NA NA 141 NA NA NA NA 8215 NA NA NA NA 9891 NA NA NA NA
1470214800.0 10826.0 96 NA NA NA NA 148 NA NA NA NA 29264 NA NA NA NA 29852 NA NA NA NA
1470214800.0 11.0 NA 79 200 0 50 NA 152 264 0 90 NA 1617 798 572 39 NA 1812 897 592 49
1470214800.0 110.0 41 70 187 NA NA 86 142 254 NA NA 512 301 288 NA NA 559 333 398 NA NA
1470214800.0 1102.0 NA 91 194 101 63 NA 152 259 155 112 NA 1936 2252 1244 114 NA 1976 2360 1309 137
1470214800.0 11021.0 83 202 80 NA NA 125 251 122 NA NA 2735 2332 857 NA NA 2904 2632 999 NA NA
1470214800.0 11024.0 95 201 82 NA NA 143 254 124 NA NA 12144 2498 1116 NA NA 13349 3233 1485 NA NA
