Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469091600.0 1.0 82 85 134 NA NA NA NA NA 153 198 234 NA NA NA NA NA 3160 579 1927 NA NA NA NA NA 1262 391 1896 NA NA NA NA NA
1469091600.0 10.0 NA 110 388 0 NA NA NA NA NA 223 470 0 NA NA NA NA NA 4311 3954 732 NA NA NA NA NA 1607 1795 763 NA NA NA NA
1469091600.0 1000.0 NA 356 125 0 48 NA NA NA NA 461 194 0 85 NA NA NA NA 4508 580 505 190 NA NA NA NA 3031 466 515 202 NA NA NA
1469091600.0 1001.0 NA 311 194 0 0 0 0 0 NA 408 252 0 0 0 0 0 NA 2515 492 7 24 379 53 410 NA 1175 442 11 26 382 59 415
1469091600.0 1002.0 NA 349 62 NA NA NA NA NA NA 467 109 NA NA NA NA NA NA 2934 166 NA NA NA NA NA NA 1636 133 NA NA NA NA NA
1469091600.0 10021.0 NA 119 409 0 NA NA NA NA NA 242 586 0 NA NA NA NA NA 825 2238 470 NA NA NA NA NA 627 1887 483 NA NA NA NA
1469091600.0 10023.0 NA 114 406 0 NA NA NA NA NA 252 544 0 NA NA NA NA NA 538 1618 306 NA NA NA NA NA 408 1564 315 NA NA NA NA
1469091600.0 10024.0 NA 126 421 0 NA NA NA NA NA 242 546 0 NA NA NA NA NA 476 1394 222 NA NA NA NA NA 347 1394 229 NA NA NA NA
1469091600.0 10024.1 NA 121 247 0 NA NA NA NA NA 249 352 0 NA NA NA NA NA 595 453 258 NA NA NA NA NA 401 383 263 NA NA NA NA
1469091600.0 10024.2 NA 128 416 0 NA NA NA NA NA 251 569 0 NA NA NA NA NA 904 2285 418 NA NA NA NA NA 762 2024 427 NA NA NA NA
1469091600.0 10024.3 NA 130 239 0 NA NA NA NA NA 251 319 0 NA NA NA NA NA 884 742 373 NA NA NA NA NA 631 631 387 NA NA NA NA
1469091600.0 10024.4 NA 121 411 0 NA NA NA NA NA 254 575 0 NA NA NA NA NA 798 2194 483 NA NA NA NA NA 552 1952 596 NA NA NA NA
1469091600.0 10024.5 NA 122 224 0 NA NA NA NA NA 241 327 0 NA NA NA NA NA 642 452 234 NA NA NA NA NA 468 364 239 NA NA NA NA
1469091600.0 10025.0 NA 126 412 0 NA NA NA NA NA 241 542 0 NA NA NA NA NA 784 1459 337 NA NA NA NA NA 604 1309 345 NA NA NA NA
1469091600.0 10026.0 NA 128 413 0 NA NA NA NA NA 251 571 0 NA NA NA NA NA 837 1935 387 NA NA NA NA NA 600 1540 399 NA NA NA NA
1469091600.0 1003.0 NA 287 0 NA NA NA NA NA NA 387 0 NA NA NA NA NA NA 5658 388 NA NA NA NA NA NA 2276 408 NA NA NA NA NA
1469091600.0 1004.0 NA 359 128 0 0 0 0 NA NA 454 183 0 0 0 0 NA NA 860 166 5 32 445 296 NA NA 681 174 9 34 449 299 NA
1469091600.0 101.0 104 NA NA NA NA NA NA NA 170 NA NA NA NA NA NA NA 942 NA NA NA NA NA NA NA 971 NA NA NA NA NA NA NA
1469091600.0 102.0 104 NA NA NA NA NA NA NA 169 NA NA NA NA NA NA NA 910 NA NA NA NA NA NA NA 931 NA NA NA NA NA NA NA
1469091600.0 10224.0 NA 226 645 0 NA NA NA NA NA 353 826 0 NA NA NA NA NA 3993 7162 361 NA NA NA NA NA 2746 5174 369 NA NA NA NA
1469091600.0 10225.0 NA 208 651 0 NA NA NA NA NA 357 821 0 NA NA NA NA NA 4497 7693 546 NA NA NA NA NA 3774 5210 560 NA NA NA NA
1469091600.0 103.0 47 0 0 NA NA NA NA NA 81 0 0 NA NA NA NA NA 643 226 578 NA NA NA NA NA 655 233 598 NA NA NA NA NA
1469091600.0 105.0 82 85 25 NA NA NA NA NA 151 213 58 NA NA NA NA NA 3616 710 5 NA NA NA NA NA 1650 465 6 NA NA NA NA NA
1469091600.0 106.0 38 0 0 NA NA NA NA NA 81 0 0 NA NA NA NA NA 629 216 577 NA NA NA NA NA 652 224 591 NA NA NA NA NA
1469091600.0 10621.0 100 95 215 0 NA NA NA NA 147 172 278 0 NA NA NA NA 2998 1417 1301 171 NA NA NA NA 2289 1067 916 181 NA NA NA NA
1469091600.0 10624.0 137 102 222 0 NA NA NA NA 202 175 291 0 NA NA NA NA 9618 822 703 211 NA NA NA NA 3591 603 499 217 NA NA NA NA
1469091600.0 10625.0 133 98 216 0 NA NA NA NA 202 174 283 0 NA NA NA NA 9625 875 539 195 NA NA NA NA 3555 615 446 200 NA NA NA NA
1469091600.0 10626.0 144 102 224 0 NA NA NA NA 204 174 293 0 NA NA NA NA 11321 976 1062 254 NA NA NA NA 4854 740 686 258 NA NA NA NA
1469091600.0 107.0 87 89 381 NA NA NA NA NA 177 193 477 NA NA NA NA NA 9994 498 754 NA NA NA NA NA 3105 325 630 NA NA NA NA NA
1469091600.0 10821.0 111 NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA 12459 NA NA NA NA NA NA NA 5331 NA NA NA NA NA NA NA
1469091600.0 10824.0 157 NA NA NA NA NA NA NA 221 NA NA NA NA NA NA NA 40318 NA NA NA NA NA NA NA 13289 NA NA NA NA NA NA NA
1469091600.0 10825.0 146 NA NA NA NA NA NA NA 214 NA NA NA NA NA NA NA 20456 NA NA NA NA NA NA NA 6892 NA NA NA NA NA NA NA
1469091600.0 10826.0 162 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 29262 NA NA NA NA NA NA NA 10823 NA NA NA NA NA NA NA
1469091600.0 109.0 94 92 372 NA NA NA NA NA 173 221 468 NA NA NA NA NA 8024 412 601 NA NA NA NA NA 2831 265 464 NA NA NA NA NA
1469091600.0 11.0 NA 98 405 0 64 NA NA NA NA 216 495 0 99 NA NA NA NA 3824 1779 800 86 NA NA NA NA 1313 1179 816 59 NA NA NA
