Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1470085200.0 1.0 75 76 131 NA NA NA NA 151 205 216 NA NA NA NA 1904 297 219 NA NA NA NA 897 206 207 NA NA NA NA
1470085200.0 10.0 NA 111 394 0 NA NA NA NA 233 477 0 NA NA NA NA 2752 2633 456 NA NA NA NA 1084 1201 469 NA NA NA
1470085200.0 1002.0 NA 344 60 NA NA NA NA NA 436 106 NA NA NA NA NA 1657 124 NA NA NA NA NA 796 105 NA NA NA NA
1470085200.0 10021.0 NA 122 394 0 NA NA NA NA 236 528 0 NA NA NA NA 539 1206 320 NA NA NA NA 426 970 328 NA NA NA
1470085200.0 10023.0 NA 117 388 0 NA NA NA NA 245 514 0 NA NA NA NA 539 948 297 NA NA NA NA 418 907 311 NA NA NA
1470085200.0 10024.3 NA 127 226 0 NA NA NA NA 253 317 0 NA NA NA NA 423 340 172 NA NA NA NA 318 312 177 NA NA NA
1470085200.0 10025.0 NA 123 403 0 NA NA NA NA 251 544 0 NA NA NA NA 589 1089 313 NA NA NA NA 431 1003 330 NA NA NA
1470085200.0 1003.0 NA 277 0 NA NA NA NA NA 359 0 NA NA NA NA NA 2319 178 NA NA NA NA NA 933 188 NA NA NA NA
1470085200.0 1004.0 NA 368 135 0 0 0 0 NA 469 181 0 0 0 0 NA 533 108 4 18 229 188 NA 448 115 16 24 241 192
1470085200.0 10224.0 NA 234 627 0 NA NA NA NA 358 807 0 NA NA NA NA 2483 3151 257 NA NA NA NA 2600 2864 265 NA NA NA
1470085200.0 10225.0 NA 199 560 0 NA NA NA NA 360 826 0 NA NA NA NA 2306 3221 251 NA NA NA NA 3103 7742 270 NA NA NA
1470085200.0 10621.0 86 104 272 0 NA NA NA 135 170 330 0 NA NA NA 1310 610 635 149 NA NA NA 1078 524 515 155 NA NA NA
1470085200.0 10625.0 118 101 271 0 NA NA NA 189 176 332 0 NA NA NA 7584 888 784 298 NA NA NA 3198 664 674 314 NA NA NA
1470085200.0 107.0 80 89 382 NA NA NA NA 178 196 478 NA NA NA NA 6537 488 697 NA NA NA NA 2360 331 581 NA NA NA NA
1470085200.0 10821.0 98 NA NA NA NA NA NA 147 NA NA NA NA NA NA 11360 NA NA NA NA NA NA 4628 NA NA NA NA NA NA
1470085200.0 10824.0 136 NA NA NA NA NA NA 203 NA NA NA NA NA NA 35453 NA NA NA NA NA NA 11918 NA NA NA NA NA NA
1470085200.0 10825.0 132 NA NA NA NA NA NA 203 NA NA NA NA NA NA 35469 NA NA NA NA NA NA 12436 NA NA NA NA NA NA
1470085200.0 10826.0 145 NA NA NA NA NA NA 209 NA NA NA NA NA NA 19501 NA NA NA NA NA NA 6824 NA NA NA NA NA NA
1470085200.0 109.0 90 102 385 NA NA NA NA 158 217 485 NA NA NA NA 10212 802 1486 NA NA NA NA 3771 524 1108 NA NA NA NA
1470085200.0 11.0 NA 105 406 0 62 NA NA NA 224 494 0 97 NA NA NA 2324 1164 441 45 NA NA NA 1005 763 454 56 NA NA
1470085200.0 11021.0 99 572 95 NA NA NA NA 147 628 150 NA NA NA NA 21713 7803 2612 NA NA NA NA 8594 4600 2654 NA NA NA NA
1470085200.0 11024.0 133 589 101 NA NA NA NA 204 643 156 NA NA NA NA 21385 3426 1256 NA NA NA NA 7172 2012 1200 NA NA NA NA
1470085200.0 11025.0 133 586 109 NA NA NA NA 209 639 149 NA NA NA NA 20789 3220 1191 NA NA NA NA 7221 1851 1157 NA NA NA NA
1470085200.0 11026.0 144 588 109 NA NA NA NA 209 644 158 NA NA NA NA 20269 2352 856 NA NA NA NA 6947 1365 813 NA NA NA NA
1470085200.0 111.0 81 89 387 NA NA NA NA 154 188 465 NA NA NA NA 2780 274 480 NA NA NA NA 1053 221 476 NA NA NA NA
1470085200.0 112.0 89 95 371 NA NA NA NA 162 197 462 NA NA NA NA 5444 493 679 NA NA NA NA 1828 334 594 NA NA NA NA
1470085200.0 11221.0 90 96 264 0 NA NA NA 140 169 328 0 NA NA NA 1349 599 634 151 NA NA NA 1086 484 502 159 NA NA NA
1470085200.0 113.0 78 88 375 NA NA NA NA 162 192 446 NA NA NA NA 5983 469 731 NA NA NA NA 2041 315 856 NA NA NA NA
1470085200.0 114.0 74 101 368 NA NA NA NA 171 201 453 NA NA NA NA 5547 490 730 NA NA NA NA 1998 351 630 NA NA NA NA
1470085200.0 115.0 83 102 370 NA NA NA NA 165 194 459 NA NA NA NA 5870 534 719 NA NA NA NA 1983 383 607 NA NA NA NA
1470085200.0 116.0 76 98 366 NA NA NA NA 162 202 449 NA NA NA NA 5717 499 706 NA NA NA NA 2355 327 591 NA NA NA NA
1470085200.0 117.0 77 89 380 NA NA NA NA 162 194 475 NA NA NA NA 7059 499 756 NA NA NA NA 2504 328 601 NA NA NA NA
1470085200.0 119.0 76 95 366 NA NA NA NA 163 188 462 NA NA NA NA 4970 464 675 NA NA NA NA 1671 318 594 NA NA NA NA
1470085200.0 12.0 NA 95 377 0 NA NA NA NA 223 460 0 NA NA NA NA 2540 2709 488 NA NA NA NA 985 1374 500 NA NA NA
1470085200.0 121.0 83 100 378 NA NA NA NA 164 192 475 NA NA NA NA 6840 520 825 NA NA NA NA 2474 336 617 NA NA NA NA
1470085200.0 126.0 53 91 367 NA NA NA NA 112 193 467 NA NA NA NA 1277 293 429 NA NA NA NA 637 209 413 NA NA NA NA
1470085200.0 127.0 62 91 367 NA NA NA NA 109 187 455 NA NA NA NA 1076 306 432 NA NA NA NA 512 215 440 NA NA NA NA
1470085200.0 13.0 NA 97 372 0 NA NA NA NA 221 453 0 NA NA NA NA 255 745 279 NA NA NA NA 226 471 291 NA NA NA
1470085200.0 1302.0 101 191 195 NA NA NA NA 173 298 286 NA NA NA NA 12841 1137 1211 NA NA NA NA 4170 776 924 NA NA NA NA
1470085200.0 1303.0 91 193 196 NA NA NA NA 161 300 301 NA NA NA NA 13408 568 957 NA NA NA NA 4804 407 582 NA NA NA NA
1470085200.0 1306.0 NA 187 438 0 NA NA NA NA 317 564 0 NA NA NA NA 1129 2968 2047 NA NA NA NA 886 2969 2064 NA NA NA
1470085200.0 1309.0 NA 217 455 0 NA NA NA NA 329 563 0 NA NA NA NA 1189 4136 1851 NA NA NA NA 817 3816 1864 NA NA NA
1470085200.0 1311.0 NA 178 444 0 69 NA NA NA 314 555 0 105 NA NA NA 593 1540 1159 101 NA NA NA 439 1526 1169 122 NA NA
1470085200.0 1312.0 NA 204 455 0 NA NA NA NA 342 563 0 NA NA NA NA 1172 3204 1816 NA NA NA NA 764 2863 1832 NA NA NA
1470085200.0 1313.0 NA 205 469 0 NA NA NA NA 348 573 0 NA NA NA NA 691 2711 1282 NA NA NA NA 488 1926 1350 NA NA NA
