Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470214800.0 11226.0 127 114 279 0 192 168 343 0 8659 757 691 225 3890 537 528 235
1470214800.0 1306.0 NA 179 440 0 NA 318 552 0 NA 425 1295 1031 NA 343 1312 1045
1470214800.0 1310.0 NA 199 454 0 NA 308 563 0 NA 561 1726 949 NA 412 1735 963
1470214800.0 1314.0 NA 187 449 0 NA 338 551 0 NA 556 1707 922 NA 401 1755 932
1470214800.0 1329.0 NA 197 444 0 NA 333 566 0 NA 817 2287 1235 NA 634 2606 1281
1470214800.0 1339.0 NA 208 466 0 NA 313 578 0 NA 731 2142 922 NA 450 1806 931
1470214800.0 134.805 NA 39 390 0 NA 98 491 0 NA 166 6210 314 NA 169 2220 324
1470214800.0 134.907 NA 87 396 0 NA 155 493 0 NA 550 5702 369 NA 2116 2498 380
1470214800.0 134.99601 NA 41 389 0 NA 96 474 0 NA 170 6947 290 NA 163 2425 299
1470214800.0 135.5 402 0 105 NA 515 0 176 NA 1791 283 239 NA 1277 318 322 NA
1470214800.0 1362.0 89 191 450 0 231 325 548 0 7575 674 2117 1267 5266 529 2160 1294
1470214800.0 250406.0 390 0 112 NA 533 0 170 NA 1221 214 206 NA 1207 250 265 NA
1470214800.0 250408.0 428 0 115 NA 569 0 177 NA 1705 230 308 NA 1427 255 280 NA
1470214800.0 25209.0 NA 305 676 0 NA 422 867 0 NA 3927 6048 1352 NA 2823 3705 1381
1470214800.0 25403.0 513 0 121 NA 690 0 184 NA 4749 314 327 NA 2257 331 307 NA
1470214800.0 36.0 NA 98 380 0 NA 199 478 0 NA 1790 8712 358 NA 674 2857 372
1470214800.0 4.57 NA 59 373 0 NA 99 478 0 NA 127 7250 288 NA 136 2306 302
1470214800.0 4.68 NA 45 359 0 NA 94 460 0 NA 105 5482 298 NA 104 1798 307
1470214800.0 500200.0 NA 181 472 0 NA 338 577 0 NA 3764 2070 349 NA 2388 973 358
1470214800.0 500200.1 82 164 222 NA 168 277 297 NA 6582 609 1022 NA 2116 514 514 NA
1470214800.0 500206.0 NA 179 449 0 NA 311 546 0 NA 3739 1985 352 NA 2408 963 361
1470214800.0 50207.0 NA 135 527 0 NA 248 651 0 NA 1152 1892 326 NA 1135 1222 339
