Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1469916000.0 10224.0 NA 136 289 0 NA 205 386 0 NA 2588 3230 392 NA 6518 8439 668
1469916000.0 10824.0 96 NA NA NA 143 NA NA NA 10928 NA NA NA 11289 NA NA NA
1469916000.0 10825.0 95 NA NA NA 141 NA NA NA 16966 NA NA NA 17939 NA NA NA
1469916000.0 11024.0 94 205 82 NA 142 253 124 NA 10818 2269 909 NA 11289 2812 1188 NA
1469916000.0 11025.0 94 205 89 NA 141 253 123 NA 7472 2004 774 NA 7855 2056 1528 NA
1469916000.0 11226.0 89 90 154 0 135 126 199 0 7291 543 513 272 7399 779 836 292
1469916000.0 118.0 53 81 191 NA 97 143 254 NA 10019 747 993 NA 10427 2017 1596 NA
1469916000.0 1303.0 57 139 165 NA 105 200 229 NA 9713 459 847 NA 11594 805 960 NA
1469916000.0 133.0 51 72 194 NA 98 146 254 NA 12242 835 1325 NA 12651 1855 1774 NA
1469916000.0 134.707 NA 43 226 0 NA 86 279 0 NA 312 9781 771 NA 385 11161 1211
1469916000.0 134.907 NA 83 250 0 NA 144 292 0 NA 1037 8942 781 NA 1086 9509 1579
1469916000.0 134.99601 NA 37 234 0 NA 86 282 0 NA 157 5871 344 NA 277 6343 372
1469916000.0 135.12 225 0 98 NA 301 0 159 NA 1455 580 403 NA 3209 606 1083 NA
1469916000.0 136.721 NA 157 242 0 NA 225 298 0 NA 3842 7335 823 NA 4464 8254 970
1469916000.0 136.728 NA 184 246 0 NA 269 310 0 NA 4885 8366 893 NA 5534 9906 1039
1469916000.0 136.729 NA 154 242 0 NA 222 300 0 NA 4076 8138 850 NA 4687 9174 1805
1469916000.0 136.73 NA 159 253 0 NA 223 329 0 NA 4604 8303 809 NA 5262 9663 1251
1469916000.0 136.731 NA 160 239 0 NA 225 303 0 NA 4679 8392 800 NA 5358 9836 895
1469916000.0 136.732 NA 155 229 0 NA 222 292 0 NA 1943 5355 752 NA 2388 6557 1231
1469916000.0 136.7321 NA 156 260 0 NA 225 318 0 NA 2346 5677 1034 NA 2960 8198 1372
1469916000.0 136.734 NA 158 238 0 NA 225 303 0 NA 4462 8139 785 NA 4783 9548 1172
1469916000.0 1360.0 70 163 238 0 156 214 316 0 3034 448 933 1156 5074 688 2359 1639
1469916000.0 1361.0 59 156 237 0 156 210 315 0 5400 646 956 1185 7977 1193 2162 1474
1469916000.0 13992501.0 NA 198 311 0 NA 272 407 0 NA 3492 4240 1484 NA 3767 7141 2088
1469916000.0 13992502.0 NA 201 314 0 NA 275 407 0 NA 3371 3620 1359 NA 6131 6989 1598
1469916000.0 2.0 51 70 122 NA 98 135 174 NA 10157 650 761 NA 10515 2159 1566 NA
1469916000.0 204.0 48 80 207 0 96 149 270 0 6382 564 798 463 6622 1828 3349 474
1469916000.0 250200.1 58 193 177 NA 104 261 235 NA 5958 1405 1221 NA 6414 2111 3154 NA
1469916000.0 250407.0 229 0 101 NA 298 0 162 NA 600 187 168 NA 869 211 246 NA
1469916000.0 250409.0 256 0 103 NA 332 0 161 NA 1489 242 328 NA 1804 337 894 NA
1469916000.0 25204.0 NA 197 314 0 NA 271 409 0 NA 3457 3510 1318 NA 6161 6959 1576
1469916000.0 25210.0 69 198 310 0 156 268 395 0 3069 1282 1686 1311 5082 2060 3269 1806
1469916000.0 25400.0 266 0 100 NA 368 0 160 NA 3298 315 278 NA 8391 427 623 NA
1469916000.0 25402.0 270 0 100 NA 370 0 160 NA 4192 313 302 NA 9444 461 1318 NA
1469916000.0 25403.0 275 0 101 NA 371 0 160 NA 3457 259 236 NA 5274 868 575 NA
1469916000.0 25405.0 265 0 107 NA 372 0 161 NA 3474 321 240 NA 5989 332 510 NA
1469916000.0 25406.0 265 0 100 NA 359 0 160 NA 2151 256 187 NA 5132 897 502 NA
1469916000.0 25407.0 256 0 100 NA 352 0 162 NA 3271 256 240 NA 5969 674 560 NA
1469916000.0 25408.0 276 0 102 NA 379 0 160 NA 5587 293 463 NA 6744 410 877 NA
1469916000.0 25409.0 266 0 101 NA 369 0 160 NA 3529 330 266 NA 4978 346 769 NA
1469916000.0 280.0 83 80 192 0 167 143 254 0 5752 278 339 367 5958 306 825 386
1469916000.0 3.0 51 69 122 NA 98 134 176 NA 5677 181 785 NA 5898 221 804 NA
1469916000.0 36.0 NA 80 197 0 NA 152 262 0 NA 2486 10151 558 NA 2871 11118 602
1469916000.0 4.57 NA 51 224 0 NA 93 282 0 NA 136 8693 504 NA 317 10252 1183
1469916000.0 4.64 NA 31 219 0 NA 78 276 0 NA 122 5120 332 NA 341 5218 737
1469916000.0 4.65 NA 31 219 0 NA 79 285 0 NA 178 10899 483 NA 354 12547 1234
1469916000.0 4.67 NA 58 227 0 NA 94 281 0 NA 126 7108 438 NA 176 7808 774
1469916000.0 4.73 NA 42 225 0 NA 81 277 0 NA 309 12499 789 NA 393 12711 860
1469916000.0 4.77 NA 48 224 0 NA 94 284 0 NA 148 9532 490 NA 238 11274 1160
1469916000.0 500202.0 NA 118 242 0 NA 203 316 0 NA 5320 2191 474 NA 6380 3934 739
1469916000.0 500205.0 NA 112 240 0 NA 192 318 0 NA 4787 1826 431 NA 6182 3140 1427
1469916000.0 500206.0 NA 115 234 0 NA 197 304 0 NA 3323 1422 400 NA 3862 2217 466
1469916000.0 50200.0 NA 111 267 0 NA 166 342 0 NA 1028 1602 396 NA 2458 3214 773
1469916000.0 50207.0 NA 99 261 0 NA 160 339 0 NA 1542 2155 448 NA 3066 4601 1428
