Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1468357200.0 1.0 58 97 153 NA NA NA NA 105 152 195 NA NA NA NA 3634 633 537 NA NA NA NA 3772 794 830 NA NA NA NA
1468357200.0 10.0 NA 94 230 0 NA NA NA NA 159 275 0 NA NA NA NA 4324 4039 1079 NA NA NA NA 4548 4304 1217 NA NA NA
1468357200.0 1002.0 NA 231 64 NA NA NA NA NA 296 94 NA NA NA NA NA 1801 127 NA NA NA NA NA 2050 227 NA NA NA NA
1468357200.0 10021.0 NA 115 261 0 NA NA NA NA 198 330 0 NA NA NA NA 719 1765 786 NA NA NA NA 830 2007 1007 NA NA NA
1468357200.0 10023.0 NA 108 261 0 NA NA NA NA 198 329 0 NA NA NA NA 679 1150 831 NA NA NA NA 905 1397 869 NA NA NA
1468357200.0 10024.0 NA 115 266 0 NA NA NA NA 199 331 0 NA NA NA NA 778 1648 872 NA NA NA NA 909 2000 915 NA NA NA
1468357200.0 10024.1 NA 114 166 0 NA NA NA NA 199 220 0 NA NA NA NA 781 847 722 NA NA NA NA 955 1145 728 NA NA NA
1468357200.0 10024.2 NA 116 267 0 NA NA NA NA 199 330 0 NA NA NA NA 765 1690 899 NA NA NA NA 930 1882 936 NA NA NA
1468357200.0 10024.3 NA 117 161 0 NA NA NA NA 199 216 0 NA NA NA NA 781 834 679 NA NA NA NA 1073 964 796 NA NA NA
1468357200.0 10024.4 NA 114 266 0 NA NA NA NA 199 330 0 NA NA NA NA 878 1659 811 NA NA NA NA 1496 1879 959 NA NA NA
1468357200.0 10024.5 NA 121 159 0 NA NA NA NA 199 216 0 NA NA NA NA 781 763 645 NA NA NA NA 948 984 763 NA NA NA
1468357200.0 10025.0 NA 122 264 0 NA NA NA NA 199 330 0 NA NA NA NA 724 1298 862 NA NA NA NA 962 1502 1225 NA NA NA
1468357200.0 10026.0 NA 118 266 0 NA NA NA NA 199 331 0 NA NA NA NA 797 2040 905 NA NA NA NA 961 2500 941 NA NA NA
1468357200.0 1003.0 NA 205 0 NA NA NA NA NA 270 0 NA NA NA NA NA 5997 617 NA NA NA NA NA 6293 759 NA NA NA NA
1468357200.0 1004.0 NA 203 144 0 0 0 0 NA 255 183 0 0 0 0 NA 964 295 9 91 960 909 NA 1150 429 111 214 1081 928
1468357200.0 101.0 91 NA NA NA NA NA NA 144 NA NA NA NA NA NA 2325 NA NA NA NA NA NA 2562 NA NA NA NA NA NA
1468357200.0 102.0 95 NA NA NA NA NA NA 145 NA NA NA NA NA NA 1729 NA NA NA NA NA NA 1942 NA NA NA NA NA NA
1468357200.0 10224.0 NA 146 344 0 NA NA NA NA 207 407 0 NA NA NA NA 4127 7482 970 NA NA NA NA 8196 11954 1001 NA NA NA
1468357200.0 10225.0 NA 162 350 0 NA NA NA NA 216 412 0 NA NA NA NA 4335 7073 1076 NA NA NA NA 12688 14449 1222 NA NA NA
1468357200.0 103.0 44 0 0 NA NA NA NA 79 0 0 NA NA NA NA 784 143 291 NA NA NA NA 893 305 409 NA NA NA NA
1468357200.0 105.0 58 101 33 NA NA NA NA 105 154 55 NA NA NA NA 3623 664 4 NA NA NA NA 3764 783 8 NA NA NA NA
1468357200.0 106.0 44 0 0 NA NA NA NA 79 0 0 NA NA NA NA 783 136 289 NA NA NA NA 803 264 496 NA NA NA NA
1468357200.0 107.0 69 102 228 NA NA NA NA 106 154 267 NA NA NA NA 6540 684 887 NA NA NA NA 6690 754 1033 NA NA NA NA
1468357200.0 108.0 60 103 227 NA NA NA NA 108 154 269 NA NA NA NA 10179 733 1125 NA NA NA NA 10233 855 1373 NA NA NA NA
1468357200.0 10821.0 100 NA NA NA NA NA NA 136 NA NA NA NA NA NA 6506 NA NA NA NA NA NA 6730 NA NA NA NA NA NA
1468357200.0 10824.0 110 NA NA NA NA NA NA 159 NA NA NA NA NA NA 24559 NA NA NA NA NA NA 24675 NA NA NA NA NA NA
1468357200.0 10825.0 110 NA NA NA NA NA NA 156 NA NA NA NA NA NA 18326 NA NA NA NA NA NA 18587 NA NA NA NA NA NA
1468357200.0 10826.0 115 NA NA NA NA NA NA 163 NA NA NA NA NA NA 42555 NA NA NA NA NA NA 42721 NA NA NA NA NA NA
1468357200.0 109.0 60 91 232 NA NA NA NA 108 154 270 NA NA NA NA 9979 719 1140 NA NA NA NA 10059 802 1450 NA NA NA NA
1468357200.0 11.0 NA 94 242 0 69 NA NA NA 159 282 0 96 NA NA NA 3556 1603 1059 64 NA NA NA 3717 1814 1089 76 NA NA
1468357200.0 110.0 54 96 225 NA NA NA NA 87 154 267 NA NA NA NA 1280 641 720 NA NA NA NA 1339 822 1043 NA NA NA NA
1468357200.0 1102.0 NA 90 228 133 85 NA NA NA 159 276 179 118 NA NA NA 4419 5500 3232 203 NA NA NA 4519 5684 3353 213 NA NA
1468357200.0 111.0 60 103 222 NA NA NA NA 104 154 267 NA NA NA NA 3891 505 779 NA NA NA NA 4028 695 1026 NA NA NA NA
1468357200.0 112.0 59 89 224 NA NA NA NA 105 154 267 NA NA NA NA 6202 681 827 NA NA NA NA 6284 903 1071 NA NA NA NA
1468357200.0 113.0 61 90 225 NA NA NA NA 109 154 269 NA NA NA NA 8113 708 884 NA NA NA NA 8337 822 1086 NA NA NA NA
1468357200.0 114.0 62 99 227 NA NA NA NA 106 154 268 NA NA NA NA 7535 703 880 NA NA NA NA 7592 808 1011 NA NA NA NA
1468357200.0 115.0 60 98 233 NA NA NA NA 107 154 270 NA NA NA NA 8489 725 982 NA NA NA NA 8535 916 1185 NA NA NA NA
1468357200.0 116.0 60 103 232 NA NA NA NA 108 154 269 NA NA NA NA 8548 698 964 NA NA NA NA 8602 811 1114 NA NA NA NA
1468357200.0 117.0 61 91 236 NA NA NA NA 110 154 270 NA NA NA NA 10782 725 1086 NA NA NA NA 10964 847 1295 NA NA NA NA
1468357200.0 118.0 61 91 230 NA NA NA NA 111 154 270 NA NA NA NA 10314 732 1133 NA NA NA NA 10471 804 1379 NA NA NA NA
1468357200.0 119.0 59 89 225 NA NA NA NA 105 154 267 NA NA NA NA 5750 680 817 NA NA NA NA 5906 849 1026 NA NA NA NA
1468357200.0 12.0 NA 89 226 0 NA NA NA NA 159 274 0 NA NA NA NA 3974 4344 1092 NA NA NA NA 4201 4574 1223 NA NA NA
1468357200.0 120.0 52 87 219 NA NA NA NA 86 154 267 NA NA NA NA 985 619 662 NA NA NA NA 1213 858 917 NA NA NA NA
1468357200.0 121.0 60 100 238 NA NA NA NA 107 154 270 NA NA NA NA 10732 745 1162 NA NA NA NA 10788 917 1303 NA NA NA NA
1468357200.0 122.0 56 89 226 NA NA NA NA 99 154 267 NA NA NA NA 1335 366 636 NA NA NA NA 1362 594 781 NA NA NA NA
1468357200.0 123.1 208 NA NA NA NA NA NA 256 NA NA NA NA NA NA 1008 NA NA NA NA NA NA 1295 NA NA NA NA NA NA
1468357200.0 123.2 209 NA NA NA NA NA NA 259 NA NA NA NA NA NA 1302 NA NA NA NA NA NA 1558 NA NA NA NA NA NA
1468357200.0 123.3 197 NA NA NA NA NA NA 241 NA NA NA NA NA NA 752 NA NA NA NA NA NA 969 NA NA NA NA NA NA
1468357200.0 124.1 205 NA NA NA NA NA NA 247 NA NA NA NA NA NA 764 NA NA NA NA NA NA 1070 NA NA NA NA NA NA
1468357200.0 124.2 208 NA NA NA NA NA NA 253 NA NA NA NA NA NA 948 NA NA NA NA NA NA 1241 NA NA NA NA NA NA
1468357200.0 124.4 205 NA NA NA NA NA NA 247 NA NA NA NA NA NA 752 NA NA NA NA NA NA 996 NA NA NA NA NA NA
1468357200.0 124.5 202 NA NA NA NA NA NA 247 NA NA NA NA NA NA 777 NA NA NA NA NA NA 1022 NA NA NA NA NA NA
1468357200.0 124.6 197 NA NA NA NA NA NA 238 NA NA NA NA NA NA 772 NA NA NA NA NA NA 1085 NA NA NA NA NA NA
1468357200.0 125.0 59 97 225 NA NA NA NA 106 154 267 NA NA NA NA 6396 689 819 NA NA NA NA 6544 918 1030 NA NA NA NA
1468357200.0 126.0 53 99 223 NA NA NA NA 93 154 267 NA NA NA NA 2786 640 736 NA NA NA NA 2911 817 879 NA NA NA NA
1468357200.0 127.0 52 99 227 NA NA NA NA 93 154 267 NA NA NA NA 2564 619 711 NA NA NA NA 2595 728 966 NA NA NA NA
1468357200.0 128.0 54 87 222 NA NA NA NA 92 154 267 NA NA NA NA 922 636 694 NA NA NA NA 975 760 845 NA NA NA NA
1468357200.0 129.0 53 93 223 NA NA NA NA 86 154 267 NA NA NA NA 1007 625 685 NA NA NA NA 1045 800 986 NA NA NA NA
1468357200.0 13.0 NA 86 223 0 NA NA NA NA 159 268 0 NA NA NA NA 488 1754 892 NA NA NA NA 783 1917 1031 NA NA NA
1468357200.0 130.0 53 86 222 NA NA NA NA 93 154 267 NA NA NA NA 1270 629 706 NA NA NA NA 1287 785 866 NA NA NA NA
1468357200.0 1301.0 67 157 199 NA NA NA NA 114 212 248 NA NA NA NA 2092 812 787 NA NA NA NA 2168 964 1329 NA NA NA NA
1468357200.0 1302.0 69 175 202 NA NA NA NA 117 212 253 NA NA NA NA 11674 1060 1093 NA NA NA NA 11822 1192 1302 NA NA NA NA
1468357200.0 1303.0 69 175 201 NA NA NA NA 115 212 259 NA NA NA NA 18984 853 1548 NA NA NA NA 19082 1113 1736 NA NA NA NA
1468357200.0 1306.0 NA 179 278 0 NA NA NA NA 227 333 0 NA NA NA NA 843 1349 2644 NA NA NA NA 1089 1657 2708 NA NA NA
1468357200.0 1307.0 NA 152 158 54 0 NA NA NA 220 215 87 0 NA NA NA 825 1002 72 1156 NA NA NA 1129 1133 201 1301 NA NA
1468357200.0 1308.0 NA 150 153 48 0 NA NA NA 220 214 83 0 NA NA NA 788 854 52 1108 NA NA NA 920 1210 169 1247 NA NA
1468357200.0 131.0 54 86 223 NA NA NA NA 95 154 267 NA NA NA NA 3378 638 720 NA NA NA NA 3429 709 921 NA NA NA NA
1468357200.0 1310.0 NA 178 282 0 NA NA NA NA 235 333 0 NA NA NA NA 1055 1673 2630 NA NA NA NA 1354 2050 2685 NA NA NA
1468357200.0 1311.0 NA 173 261 0 85 NA NA NA 227 303 0 108 NA NA NA 856 1297 2743 131 NA NA NA 1062 1607 2784 285 NA NA
1468357200.0 1312.0 NA 179 280 0 NA NA NA NA 233 333 0 NA NA NA NA 979 1713 2751 NA NA NA NA 1257 2086 2790 NA NA NA
1468357200.0 1313.0 NA 183 277 0 NA NA NA NA 234 333 0 NA NA NA NA 821 2403 2701 NA NA NA NA 1031 2796 2844 NA NA NA
1468357200.0 1316.0 NA 176 274 0 NA NA NA NA 229 333 0 NA NA NA NA 908 1437 2618 NA NA NA NA 1074 2709 2767 NA NA NA
1468357200.0 1318.0 NA 174 275 0 NA NA NA NA 226 333 0 NA NA NA NA 855 1352 2582 NA NA NA NA 1242 1563 2751 NA NA NA
1468357200.0 1319.0 NA 175 275 0 NA NA NA NA 227 333 0 NA NA NA NA 850 1413 2592 NA NA NA NA 1082 1610 2632 NA NA NA
1468357200.0 132.0 66 99 227 NA NA NA NA 106 154 267 NA NA NA NA 5589 681 856 NA NA NA NA 5749 895 1158 NA NA NA NA
