Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1468616400.0 1.0 59 94 152 NA NA NA NA NA 104 152 195 NA NA NA NA NA 3584 663 522 NA NA NA NA NA 3742 850 778 NA NA NA NA NA
1468616400.0 10.0 NA 91 227 0 NA NA NA NA NA 160 275 0 NA NA NA NA NA 4488 4074 1081 NA NA NA NA NA 4635 4311 1204 NA NA NA NA
1468616400.0 1000.0 NA 240 151 0 60 NA NA NA NA 302 203 0 84 NA NA NA NA 4005 703 870 171 NA NA NA NA 4275 1484 1004 185 NA NA NA
1468616400.0 1001.0 NA 211 192 0 0 0 0 0 NA 264 224 0 0 0 0 0 NA 3536 545 10 95 930 48 901 NA 3812 589 115 211 1061 162 1019
1468616400.0 1002.0 NA 238 80 NA NA NA NA NA NA 296 104 NA NA NA NA NA NA 4028 244 NA NA NA NA NA NA 4233 349 NA NA NA NA NA
1468616400.0 10021.0 NA 109 261 0 NA NA NA NA NA 199 330 0 NA NA NA NA NA 751 1630 762 NA NA NA NA NA 904 1943 806 NA NA NA NA
1468616400.0 10023.0 NA 117 262 0 NA NA NA NA NA 199 330 0 NA NA NA NA NA 697 1198 790 NA NA NA NA NA 872 1401 942 NA NA NA NA
1468616400.0 10024.0 NA 119 264 0 NA NA NA NA NA 199 330 0 NA NA NA NA NA 788 1604 863 NA NA NA NA NA 995 1976 1027 NA NA NA NA
1468616400.0 10024.1 NA 112 164 0 NA NA NA NA NA 199 221 0 NA NA NA NA NA 789 871 683 NA NA NA NA NA 1014 1240 694 NA NA NA NA
1468616400.0 10024.2 NA 112 264 0 NA NA NA NA NA 199 330 0 NA NA NA NA NA 789 1567 902 NA NA NA NA NA 961 1783 952 NA NA NA NA
1468616400.0 10024.3 NA 112 162 0 NA NA NA NA NA 199 216 0 NA NA NA NA NA 791 803 621 NA NA NA NA NA 1028 929 736 NA NA NA NA
1468616400.0 10024.4 NA 113 262 0 NA NA NA NA NA 199 330 0 NA NA NA NA NA 795 1585 860 NA NA NA NA NA 947 1841 889 NA NA NA NA
1468616400.0 10024.5 NA 119 157 0 NA NA NA NA NA 199 217 0 NA NA NA NA NA 789 846 626 NA NA NA NA NA 1026 958 634 NA NA NA NA
1468616400.0 10025.0 NA 112 263 0 NA NA NA NA NA 199 330 0 NA NA NA NA NA 756 1361 830 NA NA NA NA NA 890 1729 972 NA NA NA NA
1468616400.0 10026.0 NA 125 266 0 NA NA NA NA NA 199 330 0 NA NA NA NA NA 813 2639 918 NA NA NA NA NA 941 3020 1064 NA NA NA NA
1468616400.0 1003.0 NA 201 0 NA NA NA NA NA NA 267 0 NA NA NA NA NA NA 5982 626 NA NA NA NA NA NA 6250 760 NA NA NA NA NA
1468616400.0 1004.0 NA 203 139 0 0 0 0 NA NA 255 183 0 0 0 0 NA NA 958 278 10 90 912 1117 NA NA 1156 1099 121 125 1031 1131 NA
1468616400.0 101.0 93 NA NA NA NA NA NA NA 146 NA NA NA NA NA NA NA 2310 NA NA NA NA NA NA NA 2516 NA NA NA NA NA NA NA
1468616400.0 102.0 96 NA NA NA NA NA NA NA 146 NA NA NA NA NA NA NA 1763 NA NA NA NA NA NA NA 1930 NA NA NA NA NA NA NA
1468616400.0 10224.0 NA 146 340 0 NA NA NA NA NA 209 406 0 NA NA NA NA NA 4264 8593 1047 NA NA NA NA NA 6862 12818 1088 NA NA NA NA
1468616400.0 10225.0 NA 159 342 0 NA NA NA NA NA 211 407 0 NA NA NA NA NA 4398 7574 972 NA NA NA NA NA 13487 15528 1124 NA NA NA NA
