Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1469916000.0 10224.0 NA 145 317 0 NA NA 207 391 0 NA NA 4217 6555 960 NA NA 8296 10036 1100 NA
1469916000.0 10225.0 NA 146 325 0 NA NA 213 400 0 NA NA 4356 6789 931 NA NA 12331 13893 975 NA
1469916000.0 10824.0 100 NA NA NA NA 149 NA NA NA NA 23886 NA NA NA NA 24021 NA NA NA NA
1469916000.0 10826.0 106 NA NA NA NA 156 NA NA NA NA 40722 NA NA NA NA 40978 NA NA NA NA
1469916000.0 11024.0 100 214 93 NA NA 147 258 130 NA NA 23530 6051 2387 NA NA 23771 6277 2663 NA NA
1469916000.0 11026.0 106 214 101 NA NA 156 260 133 NA NA 40485 6147 2430 NA NA 40790 6395 2693 NA NA
1469916000.0 1303.0 64 169 195 NA NA 110 206 247 NA NA 18186 832 1694 NA NA 18324 1004 2014 NA NA
1469916000.0 134.99601 NA 55 253 0 NA NA 93 308 0 NA NA 319 16806 956 NA NA 456 17305 1098 NA
1469916000.0 1356.0 64 188 293 0 119 114 217 336 0 171 7915 1081 1696 2776 374 8005 1336 1893 2916 518
1469916000.0 136.721 NA 183 267 0 NA NA 233 325 0 NA NA 6696 16112 1853 NA NA 6931 16563 1998 NA
1469916000.0 136.722 NA 180 299 0 NA NA 237 348 0 NA NA 8072 18033 1911 NA NA 8336 18400 2062 NA
1469916000.0 136.723 NA 186 282 0 NA NA 232 324 0 NA NA 7599 17764 1828 NA NA 7846 18148 1968 NA
1469916000.0 136.724 NA 187 290 0 NA NA 236 333 0 NA NA 8916 21375 1929 NA NA 9091 21807 2077 NA
1469916000.0 136.726 NA 173 282 0 NA NA 233 329 0 NA NA 8535 18678 1858 NA NA 8748 19083 1904 NA
1469916000.0 136.727 NA 223 288 0 NA NA 281 340 0 NA NA 7574 17102 1911 NA NA 7804 17490 2059 NA
1469916000.0 136.728 NA 219 281 0 NA NA 271 335 0 NA NA 8504 18386 2041 NA NA 8768 18715 2076 NA
1469916000.0 136.729 NA 174 277 0 NA NA 229 327 0 NA NA 7369 18096 1824 NA NA 7800 18548 1978 NA
1469916000.0 136.73 NA 174 305 0 NA NA 231 352 0 NA NA 7857 18106 1924 NA NA 8112 18531 1965 NA
1469916000.0 136.731 NA 175 273 0 NA NA 235 327 0 NA NA 8170 18515 1862 NA NA 8458 19038 2014 NA
1469916000.0 136.732 NA 168 265 0 NA NA 233 318 0 NA NA 4029 12148 1830 NA NA 4294 12470 1971 NA
1469916000.0 136.7321 NA 175 289 0 NA NA 234 344 0 NA NA 4059 12513 1885 NA NA 4311 12927 1953 NA
1469916000.0 136.734 NA 170 270 0 NA NA 234 328 0 NA NA 7787 18029 1821 NA NA 8025 18473 1856 NA
1469916000.0 13992501.0 NA 213 351 0 NA NA 285 418 0 NA NA 5876 8096 2962 NA NA 6187 10561 3005 NA
1469916000.0 13992502.0 NA 227 338 0 NA NA 293 421 0 NA NA 5825 7174 2973 NA NA 8523 9614 3138 NA
1469916000.0 250200.0 NA 240 310 0 NA NA 300 372 0 NA NA 26004 6858 2894 NA NA 27380 7259 3035 NA
1469916000.0 250202.0 NA 251 320 0 NA NA 304 386 0 NA NA 28942 7942 2932 NA NA 30345 8381 2966 NA
1469916000.0 250203.0 NA 236 302 0 NA NA 299 364 0 NA NA 26839 5746 2839 NA NA 27424 6065 2991 NA
1469916000.0 250204.0 NA 245 302 0 NA NA 297 368 0 NA NA 26613 5960 2898 NA NA 27344 6294 3057 NA
1469916000.0 250205.0 NA 240 307 0 NA NA 307 362 0 NA NA 24630 5365 2980 NA NA 25992 5660 3021 NA
1469916000.0 250206.0 NA 246 302 0 NA NA 297 361 0 NA NA 25039 6562 2911 NA NA 26273 6773 3059 NA
1469916000.0 250207.0 NA 223 309 0 NA NA 293 360 0 NA NA 20996 4977 2787 NA NA 21472 5180 2841 NA
1469916000.0 25200.0 NA 212 339 0 NA NA 290 421 0 NA NA 5755 6781 2879 NA NA 9159 9136 3036 NA
1469916000.0 25202.0 NA 221 344 0 NA NA 288 425 0 NA NA 6064 7647 2971 NA NA 7449 8877 3023 NA
1469916000.0 25203.0 NA 215 331 0 NA NA 283 411 0 NA NA 5826 6225 2850 NA NA 8995 6742 2887 NA
1469916000.0 25204.0 NA 212 338 0 NA NA 275 416 0 NA NA 5574 7164 2880 NA NA 8547 9567 2917 NA
1469916000.0 25205.0 NA 211 332 0 NA NA 282 416 0 NA NA 5560 6838 3006 NA NA 9473 9329 3044 NA
1469916000.0 25206.0 NA 209 336 0 NA NA 279 415 0 NA NA 5572 7611 2933 NA NA 10999 12945 2974 NA
1469916000.0 25207.0 NA 213 337 0 NA NA 281 416 0 NA NA 5518 6762 2953 NA NA 8821 9512 2997 NA
1469916000.0 25208.0 NA 220 339 0 NA NA 292 423 0 NA NA 6502 9546 3086 NA NA 9548 11942 3248 NA
1469916000.0 25209.0 NA 216 342 0 NA NA 283 422 0 NA NA 6289 8505 2964 NA NA 9567 10754 3012 NA
1469916000.0 25402.0 288 0 128 NA NA 373 0 168 NA NA 7348 705 586 NA NA 12261 823 677 NA NA
